uuid,Void/Retire,Fully specified name:es,Short name:es,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Answers,Mappings|SAME-AS|PIH|Name,Mappings|SAME-AS|PIH|Number,Mappings|SAME-AS|CIEL,Mappings|SAME-AS|AMPATH,Mappings|NARROWER-THAN|AMPATH,Mappings|SAME-AS|ICD-10-WHO,Mappings|NARROWER-THAN|ICD-10-WHO,Mappings|BROADER-THAN|ICD-10-WHO,Mappings|NARROWER-THAN|ICD-10-WHO 2nd,Mappings|SAME-AS|ICD-11-WHO,Mappings|SAME-AS|Liberia MoH,Mappings|NARROWER-THAN|Liberia MoH,Mappings|SAME-AS|org.openmrs.module.emrapi,Mappings|SAME-AS|PIH Malawi,Mappings|SAME-AS|SNOMED CT,Mappings|NARROWER-THAN|SNOMED CT,_order:90
119866AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,contusión superficial,,Contusion,,"Injuries resulting in hemorrhage, usually manifested in the skin.",Diagnosis,N/A,,,9319,119866,,,,T14.0,,,,,,,,270911002,,
143388AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,convulsiones en el recién nacido,,Convulsions in the newborn,,,Diagnosis,N/A,,Convulsions in the Newborn,7254,143388,,,,P90,,,,,,,,87476004,,
157523AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Convulsiones focales,,Focal seizures,,,Diagnosis,N/A,,Focal Seizures,7917,157523,,,G40.0,,,,,,49 (Epilepsy),,,,193022009,
60184910-5086-4110-a501-382c1c991286,,Convulsiones generalizadas,,Grand mal seizure,,"A form of epilepsy characterized by tonic-clonic seizures. involving two phases -- the tonic phase in which the body becomes rigid, and clonic phase in which there is uncontrolled jerking.",Diagnosis,N/A,,Generalized Tonic-clonic seizure,6833,,,,,G40.6,,,,,49 (Epilepsy),,,54200006,,
161644AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Crisis hipertensiva,,Hypertensive crisis,,A emergency accompanied with high-blood pressure.,Diagnosis,N/A,,,8885,161644,,,,I10,,,,,33 (Hypertension),,,443482000,,
139962AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,cuerpo extraño en el oído,,Foreign body in ear,,,Diagnosis,N/A,,Foreign Body in Ear,7493,139962,,,,T16,,,,,,,,75441006,,
139963AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Cuerpo extraño en tracto digestivo,,Foreign Body in Digestive Tract,,,Diagnosis,N/A,,,8469,139963,,,,T18.9,,,,,,,,33334006,,
139960AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Cuerpo extraño en tracto genitourinario,,Foreign Body in Genitourinary Tract,,,Diagnosis,N/A,,,8563,139960,,,T19.9,,,,,,,,,68017002,,
156355AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Cuerpo extraño en tracto respiratorio,,foreign body in respiratory tract,,,Diagnosis,N/A,,,8326,156355,,,T17.9,,,,,,,,,262599003,,
127655AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Cuerpo extraño residual en tejido blando,,Residual Foreign Body in Soft Tissue,,,Diagnosis,N/A,,,8485,127655,,,M79.5,,,,,,,,,6058003,,
113292AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,cuerpo extraño retenido en el ojo,,Foreign body in eye,,,Diagnosis,N/A,,Foreign Body in Eye,7484,113292,,,,T15.9,,,,,,,,82576008,,
e4fc1e73-75d8-4c86-bd6c-09cb210ffd50,,Defecto atrial septal,,Atrial septal defect,ASD,"Defects in the septum between the atria of the heart, due to failure of fusion between either the septum secundum or the septum primum and the endocardial cushions.",Diagnosis,Coded,SECUNDUM;SINUS VENOUS;Unknown;PRIMUM,ATRIAL SEPTAL DEFECT,3870,148196,,,,Q21.1,,,,,,,,70142008,,
5d02af45-05bd-4e3d-b749-c92ed0a7d2c2,,Defecto ventricular septal,,Ventricular septal defect,VSD,A hole in the wall between the right and left ventricles of the heart.,Diagnosis,N/A,,VENTRICULAR SEPTAL DEFECT,3852,123240,,,,Q21.0,,,,,,,,30288003,,
119574AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Delirium,,Delirium,,"A disorder characterized by CONFUSION; inattentiveness; disorientation; ILLUSIONS; HALLUCINATIONS; agitation; and in some instances autonomic nervous system overactivity. It may result from toxic/metabolic conditions or structural brain lesions. (From Adams et al., Principles of Neurology, 6th ed, pp411-2)",Diagnosis,N/A,,Delirium,7946,119574,,,,F05.9,,,,,,,,,2776000,
3ce98d06-26fe-102b-80cb-0017a47871b2,,Demencia ,,Dementia,,"Deterioration of intellectual faculties, such as memory, concentration, and judgment, resulting from an organic disease or a disorder of the brain. It is sometimes accompanied by emotional disturbance and personality changes.",Diagnosis,N/A,,DEMENTIA,5136,,,,F03,,,,,,,,,,,
142592AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Dengue,dengue,Dengue,,,Diagnosis,N/A,,Dengue,7645,142592,,,,A90,,,,,,,,38362002,,
3cce9514-26fe-102b-80cb-0017a47871b2,,Depresion,,Depression,,"Affective disorder with anhedonia, melancholia, psychomotor retardation.",Diagnosis,N/A,,DEPRESSION,207,119537,207;6038,,,F32.9,,,,,45 (Mood disorder),,,35489007,,
3ccd08d4-26fe-102b-80cb-0017a47871b2,,Dermatitis,,Dermatitis,,Inflammation of the skin.,Finding,N/A,,DERMATITIS,119,,,,L30.9,,,,,,,,,182782007,,
121348AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,dermatitis atópica,,Atopic dermatitis,,"A chronic inflammatory genetically determined disease of the skin marked by increased ability to form reagin (IgE), with increased susceptibility to allergic rhinitis and asthma, and hereditary disposition to a lowered threshold for pruritus. It is manifested by lichenification, excoriation, and crusting, mainly on the flexural surfaces of the elbow and knee. In infants it is known as infantile eczema.",Diagnosis,N/A,,,7925,121348,,,L20.9,,,,,,,,,24079001,,
157380AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Dermatitis de contacto,,"Irritant contact dermatitis, unspecified cause",,,Diagnosis,N/A,,,10039,157380,,,L24.9,,,,,,,,,110979008,,
3ce5c11c-26fe-102b-80cb-0017a47871b2,,Dermatitis seborréica,,Seborrhoeic dermatitis,,"WHO STAGE 2-a skin disorder affecting the scalp, face and trunk causing scaly, flaky, itchy, red skin",Diagnosis,N/A,,SEBORRHOEIC DERMATITIS,2578,113116,,,L21.9,,,,,,,,,50563003,,
152595AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Dermatopoliomiositis,,Polymyositis-Dermatomyositis,,,Diagnosis,N/A,,,10127,152595,,,M33.9,,,,,,,,,396230008,,
118697AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Derrame artricular,,Effusion of Joint,,"Accumulation of watery fluid in the cavity of a joint. (Dorland, 27th ed)",Diagnosis,N/A,,,8401,118697,,,M25.4,,,,,,,,,387637008,202363001,
3cd771ac-26fe-102b-80cb-0017a47871b2,,Derrame pleural,,Pulmonary Effusion,,"Accumulation of serous, purulent, or bloody fluid into the pulmonary cavity.",Diagnosis,N/A,,PULMONARY EFFUSION,1136,,,,,J90,,,,,,,,,,
3cf1e0f0-26fe-102b-80cb-0017a47871b2,,Descarga uretral,,Urethral discharge,,DEF: Discharge of purulent fluid from the urethra. DESC: Commonly caused by Gonorrhea and/or chlamydia. REF: Merck Manual,Diagnosis,N/A,,URETHRAL DISCHARGE,5995,123529,,,,R36,,,,,,,,9957009,,
112459AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Desgarro de menisco,,Torn meniscus,,,Diagnosis,N/A,,,9582,112459,,,,S83.2,,,,,,,,239720000,,
142630AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,deshidratación,,Dehydration,,,Diagnosis,N/A,,DEHYDRATION,7503,142630,991,,,E86,,,,,,,,34095006,,
b7690a09-e5e5-4b47-adc5-c76b654772d3,,Deshidratación moderada,,Moderate dehydration,,,Diagnosis,N/A,,,9346,154016,,,E86,,,,,,,,,34095006,,
330d227b-fada-4b8b-a05c-ba56b8e96e19,,Deshidratación severa,,Severe dehydration,,,Diagnosis,N/A,,,9345,154015,,,E86,,,,,,,,,34095006,,
3cd97cc2-26fe-102b-80cb-0017a47871b2,,Desnutrición moderada,,Mild protein-energy malnutrition,,Mild malnutrition on assessment,Diagnosis,N/A,,MALNUTRITION M1,1311,,,,E44.1,,,,,,41 (Malnutrition),,,190605005,,
3cd97fb0-26fe-102b-80cb-0017a47871b2,,Desnutrición severa,,Severe protein-energy malnutrition,,Severe malnutrition,Diagnosis,N/A,,MALNUTRITION M3,1313,,,,,E43,,,,,41 (Malnutrition),,,,,
130108AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,desprendimiento placentario,,Placental abruption,,Premature separation of the normally implanted placenta.,Diagnosis,N/A,,,8019,130108,,6460,O45.9,,,,,,,,,415105001,,
932d395c-d509-4d42-bac4-5a3281efe149,,Diabetes gestacional,,Gestational diabetes,,Gestational diabetes starts when your body is not able to make and use all the insulin it needs for pregnancy.,Diagnosis,N/A,,Gestational diabetes,6693,1449,,,,O24.4,,,,,,,,11687002,,
105903f4-7b6d-496a-b613-37ab9d0f5450,,diabetes mellitus dependiente de insulina,,Type 1 diabetes,,"Type 1 diabetes is usually diagnosed in children and young adults, and was previously known as juvenile diabetes. In type 1 diabetes, the body does not produce insulin.",Diagnosis,N/A,,Type 1 diabetes,6691,142474,,,E10.9;E10,,,,,,31 (Diabetes),,,46635009,,
8b26ecd3-8726-4c8e-b042-cbe71e44a863,,diabetes mellitus no dependiente de insulina,,Type 2 diabetes,,"Type 2 diabetes is the most common form of diabetes.  In type 2 diabetes, either the body does not produce enough insulin or the cells ignore the insulin.",Diagnosis,N/A,,Type 2 diabetes,6692,142473,,,E11.9,E11,,,,,31 (Diabetes),,,44054006,,
cb3b4cf0-e042-4b53-9509-befbfeca3589,,Diabetes mellitus preexistente en el embarazo,,Pre-gestational diabetes,,,Diagnosis,N/A,,Pre-gestational diabetes,7961,,,,,O24.3,,,,,,,,,,
3ccc6a00-26fe-102b-80cb-0017a47871b2,,Diarrea ,,Diarrhea,,Passage of excessively liquid or excessively frequent stools.,Diagnosis,N/A,No;Unknown;Yes,DIARRHEA,16,142412,16;5983,,,K52.9,,,,,,,,62315008,,
aafca29e-a395-4638-9e27-2cddc7ed9146,,Diarrea aguda,,Acute Diarrhea,,Frequent and loose bowel movements of acute onset (< 24 hours). Commonly associated with abdominal pain. May be associated with blood or mucus in the stool.,Diagnosis,N/A,,ACUTE DIARRHEA,3588,149856,,,A09.9,,,,,,,,,,,
3ce14aba-26fe-102b-80cb-0017a47871b2,,Diarrea con sangre,,Bloody diarrhea,,"Any of various disorders marked by inflammation of the intestines, especially of the colon, and attended by pain in the abdomen, tenesmus, and frequent stools containing blood and mucus. Causes include chemical irritants, bacteria, protozoa, or parasitic worms. (Dorland, 27th ed)",Diagnosis,N/A,,Bloody diarrhea,2135,,,,,A09.0,,,,2 (Bloody Diarrhea),,,,,,
145443AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,diarrea crónica de causa desconocida,,Chronic diarrhea of unknown origin,,Passage of excessively liquid or excessively frequent stools.,Diagnosis,N/A,,,11195,145443,,,,K52.9,,,,,,,5018,17551007,,
3ccc6636-26fe-102b-80cb-0017a47871b2,,Diarrea por parásitos,,Parasitic diarrhea,,"Diarrhea due to amoebic infection.  Parasites can enter the body through food or water and settle in the digestive system. Parasites that cause diarrhea include Giardia lamblia, Entamoeba histolytica, and Cryptosporidium.",Diagnosis,N/A,,"DIARRHEA, PARASITE",14,,,,,A06.9,,,,,,,,,,
19f08bdd-7528-47ef-a060-b531f73024e7,,Diarrea viral,,Viral and other specified intestinal infections,,,Diagnosis,N/A,,Viral and other specified intestinal infections,7156,,,,,A08.4,,,,,,,,,,
125290AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Dientes supernumerarios,,Supernumerary Tooth,,"An extra tooth, erupted or unerupted, resembling or unlike the other teeth in the group to which it belongs. Its presence may cause malposition of adjacent teeth or prevent their eruption.",Diagnosis,N/A,,,8903,125290,,,K00.1,,,,,,,,,367534004,,
142371AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,dificultad para dormir,,Difficulty Sleeping,,,Diagnosis,N/A,,,11806,142371,,,G47.9,,,,,,,,,301345002,,
119399AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,difteria,,Diphtheria,,"A localized infection of mucous membranes or skin caused by toxigenic strains of CORYNEBACTERIUM DIPHTHERIAE. It is characterized by the presence of a pseudomembrane at the site of infection. DIPHTHERIA TOXIN, produced by C. diphtheriae, can cause myocarditis, polyneuritis, and other systemic toxic effects.",Diagnosis,N/A,,Diphtheria,7641,119399,,,,A36.9,,,,,,,,397428000,,
141645AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,disartria,,Dysarthria,,"Disorders of speech articulation caused by imperfect coordination of pharnyx, larnyx, tongue, or face muscles. This may result from CRANIAL NERVE DISEASES; NEUROMUSCULAR DISEASES; CEREBELLAR DISEASES; BASAL GANGLIA DISEASES; BRAIN STEM diseases; or diseases of the corticobulbar tracts (see PYRAMIDAL TRACTS). The cortical language centers are intact in this condition. (From Adams et al., Principles of Neurology, 6th ed, p489)",Diagnosis,N/A,,,10604,141645,,,,,R47.1,,,,,,,8011004,,
122936AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,discapacidad para caminar,,Walking disability,,,Diagnosis,N/A,,,10509,122936,,,,,R26.2,,,,,,,228158008,,
141635AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,disestesia,,Dysaesthesia,,"Subjective cutaneous sensations (e.g., cold, warmth, tingling, pressure, etc.) that are experienced spontaneously in the absence of stimulation.",Diagnosis,N/A,,,11215,141635,,,,R20.8,,,,,,,,279079003,,
3cd4d0c8-26fe-102b-80cb-0017a47871b2,,disfagia,,Dysphagia,,Pain which occurs when swallowing.,Diagnosis,N/A,,DYSPHAGIA,881,118789,881,,R13,,,,,,,,,40739000,288939007,
147375AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Dislocación congénita bilateral de cadera,,Bilateral congenital dislocation of hip,,,Diagnosis,N/A,,,9575,147375,,,Q65.1,,,,,,,,,10155006,,
123790AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Dislocación congénita unilateral de cadera,,Unilateral congenital dislocation of hip,,,Diagnosis,N/A,,,9658,123790,,,Q65.0,,,,,,,,,33543001,,
3cce6a6c-26fe-102b-80cb-0017a47871b2,,Dislocación de hombro,,Shoulder dislocation,,Dislocation of the glenohumeral joint of the shoulder.,Diagnosis,N/A,,SHOULDER DISLOCATION,180,,,,,S43.0,,,,,,,,,,
142158AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Dislocación de mandíbula,,Dislocation of Jaw,,,Diagnosis,N/A,,,8324,142158,,,S03.0,,,,,,,,,302964004,,
114989AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Dislocación del codo,,Dislocation of elbow,,,Diagnosis,N/A,,,9597,114989,,,,S53.1,,,,,,,,125617002,,
3ccd154a-26fe-102b-80cb-0017a47871b2,,Dismenorrea,,Dysmenorrhoea,,Pain with menstrual periods.,Diagnosis,Coded,,DYSMENORRHOEA,127,127,,,N94.6,,,,,,,,,266599000,,
3cf1a95a-26fe-102b-80cb-0017a47871b2,,disnea,,Dyspnea,,Sensation of being out of breath.,Diagnosis,N/A,,,5960,122496,5540,2296,,R06.0,,,,,,,,267036007,271825005,
3cccfc54-26fe-102b-80cb-0017a47871b2,,Dispepsia,,Dyspepsia,,A disorder of digestive function characterized by discomfort or heartburn or nausea.,Symptom/Finding,N/A,,DYSPEPSIA,111,,,,,K30,,,,,,,,,,
f6320f6f-4acf-4143-abb5-02001a19e4f3,,Displasia cervical,,Cervical dysplasia,,,Diagnosis,N/A,,Dysplasie cervicale,7629,,,,,N87.9,,,,,,,,,,
121213AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,displasia mamaria benigna,,Benign Mammary Dysplasia,,A chronic disorder comprising three variants which range from lesions consisting primarily of an overgrowth of fibrous tissue to those characterized by dominance of the proliferation of the epithelial parenchyma to a form of dysplasia characterized by both stromal and epithelial hyperplasia with the formation of cysts.,Diagnosis,N/A,,Benign Mammary Dysplasia,7614,121213,,,,N60.9,,,,,,,,57993004,,
3cf29fe0-26fe-102b-80cb-0017a47871b2,,Disuria,,Dysuria,,Painful or difficult urination.,Diagnosis,N/A,,DYSURIA,6020,118771,,,R30.9,,,,,,,,,49650001,,
118862AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Diverticulitis o enfermedad diverticular,,Diverticulitis of Colon,,Inflammatory complications of colonic diverticulosis in which diverticula may undergo perforation with abscess formation.,Diagnosis,N/A,,,8586,118862,,,,K57.3,,,,,,,,111359004,,
7c4d837b-5967-4ba6-902c-ca7651bebf34,,Dolor,,Pain,,"Pain is something that hurts as a consequence of injury, disease, or emotional disorder.",Diagnosis,N/A,,Pain,6896,,,,,R52.9,,,,,,,,,,
3ccdf8d4-26fe-102b-80cb-0017a47871b2,,Dolor abdominal,,Abdominal pain,,"Pain in the abdomen, unspecified cause.",Symptom,N/A,,ABDOMINAL PAIN,151,151,,,,,R10.4,,,,,,,21522001,,
3cccc7ac-26fe-102b-80cb-0017a47871b2,,Dolor articular,,Joint pain,,Unspecified problems with pain and motion of the joints and/or muscles.,Finding,N/A,,JOINT PAIN,80,,,,,M25.5,,,,,,,,57676002,,
3cd123ba-26fe-102b-80cb-0017a47871b2,,Dolor en espalda baja o lumbalgia,,Low back pain,,Discomfort or a pain in the region of the back or spine.,Diagnosis,N/A,,BACK PAIN,456,,,,,M54.5,,,,,,,,279039007,,
141128AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,dolor epigástrico,,Epigastric pain,,"Sensation of discomfort, distress, or agony in the abdominal region",Diagnosis,N/A,,Epigastric Pain,7620,141128,,,,R10.1,,,,,,,,79922009,,
3ccd0bf4-26fe-102b-80cb-0017a47871b2,,Dolor muscular,,Myalgia,,"Muscular pain or tenderness, especially when diffuse and nonspecific.",Finding,N/A,,MYALGIA,121,,,,M79.1,,,,,,,,,68962001,,
152288AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,dolor pélvico y perineal,,Pelvic and Perineal Pain (for women only),,used for females,Diagnosis,N/A,,Pelvic and Perineal Pain,7647,152288,,,,R10.2,,,,,,,,274671002,,
3ccd2364-26fe-102b-80cb-0017a47871b2,,Dolor torácico,,Chest Pain,,"Chest tightness, pressure or discomfort.",Diagnosis,N/A,,CHEST PAIN,136,120749,,,,R07.4,,,,,,,,29857009,,
3cd47e3e-26fe-102b-80cb-0017a47871b2,,Eccema,,Eczema,,"An inflammatory condition of the skin characterized by redness, itching, and oozing vesicular lesions which become scaly, crusted, or hardened.",Diagnosis,N/A,,ECZEMA,829,118731,,,L30.9,,,,,,,,,43116000,,
43223694-5bbb-4cff-8f2f-0ba5efed8e04,,Eclampsia,,Eclampsia,,,Diagnosis,N/A,,Eclampsia,7696,118744,,,,O15.9,,,,57 (Eclampsia),,PregnancyComplications,,15938005,,
3cd12a04-26fe-102b-80cb-0017a47871b2,,Edema,,Oedema,,An abnormal excess accumulation of serous fluid in connective tissue or in a serous cavity.,Symptom/Finding,N/A,,OEDEMA,460,460,,,,R60.9,,,,,,,,267038008,,
6c54f2dc-0873-43fc-afb4-106572936455,,Edema pulmonar,,Pulmonary edema,,,Diagnosis,N/A,,Pulmonary Edema,7627,,,,,J81,,,,,,,,,,
117529AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,embarazo de alto riesgo,,High-risk pregnancy,,"Pregnancy in which the mother and/or fetus are at greater than normal risk of morbidity or mortality. Causes include lack of adequate prenatal care, previous obstetrical history, pre-existing maternal disease or pregnancy-induced disease, and multiple gestation, as well as advanced maternal age.",Diagnosis,N/A,,,8861,117529,,,,Z35.9,,,,,,,,47200007,,
3ccc9624-26fe-102b-80cb-0017a47871b2,,Embarazo ectópico,,"Pregnancy, Ectopic",,"Implantation and subsequent development of a fertilized ovum outside the uterus, as in a fallopian tube.",Diagnosis,N/A,,Ectopic pregnancy,46,46,,,,O00.9,,,,,,,,34801009,,
115491AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,embarazo múltiple,,Multiple gestation,,,Diagnosis,N/A,,Multiple Gestation,7225,115491,,,,O30.9,,,,,,,,16356006,,
138834AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Encefalopatía hepática,,Hepatic encephalopathy,,"A syndrome characterized by central nervous system dysfunction in association with LIVER FAILURE, including portal-systemic shunts. Clinical features include lethargy and CONFUSION (frequently progressing to COMA); asterixis; NYSTAGMUS; brisk oculovestibular reflexes; decorticate and decerebrate posturing; MUSCLE SPASTICITY; and bilateral extensor plantar reflexes (see REFLEX, BABINSKI). ELECTROENCEPHALOGRAPHY may demonstrate triphasic waves. (From Adams et al., Principles of Neurology, 6th ed, pp1117-20; Plum & Posner, Diagnosis of Stupor and Coma, 3rd ed, p222-5)",Diagnosis,N/A,,,8601,138834,,,,K72.9,,,,,,,7059,13920009,,
156720AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Encefalopatía hipóxico-isquémica del recien nacido,,Hypoxic ischemic encephalopathy of newborn,,,Diagnosis,N/A,,,9440,156720,,,P91.6,,,,,,,,,126945001,,
118631AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Endometriosis uterina,,Endometriosis,,A condition in which tissue more or less perfectly resembling the uterine mucous membrane (the endometrium) and containing typical endometrial granular and stromal elements occurs aberrantly in various locations in the pelvic cavity.,Diagnosis,N/A,,,8005,118631,,,N80.9,,,,,,,,,129103003,,
d4c6945e-9328-4d0c-91c5-20c853f0afa6,,Enfermedad cardiaca congénita,,Congenital heart disease,,A problem with the heart's structure or function due to abnormal development before birth.,Diagnosis,N/A,,CONGENITAL HEART DISEASE,3131,,,,,Q24.9,,,,,32 (Heart disease),,,13213009,,
fe7787ea-59ba-4427-b3df-62e9dc74d4a3,,Enfermedad cardiaca hipertensiva,,Hypertensive heart disease,,Hypertensive heart disease is any of a number of complications of arterial hypertension that affect the heart.,Diagnosis,N/A,,HYPERTENSIVE HEART DISEASE,3071,117386,,,I11,,,,,,32 (Heart disease),,,64715009,,
119354AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,enfermedad causada por la superfamilia Filarioidea,,Filariasis,,"Infections with nematodes of the superfamily FILARIOIDEA. The presence of living worms in the body is mainly asymptomatic but the death of adult worms leads to granulomatous inflammation and permanent fibrosis. Organisms of the genus Elaeophora infect wild elk and domestic sheep causing ischaemic necrosis of the brain, blindness, and dermatosis of the face.",Diagnosis,N/A,,Filariasis,7594,119354,,,,B74.9,,,,,,,,105706003,,
117625AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,enfermedad hemolítica del feto O recién nacido por isoinmunización,,Hemolytic disease due to isoimmunization of fetus or newborn,,"Hemolytic anemia of the fetus or newborn infant, caused by the transplacental transmission of maternally formed antibody, usually secondary to an incompatibility between the blood group of the mother and that of her offspring. (From Dorland, 27th ed)",Diagnosis,N/A,,,9426,117625,,,,P55.9,,,,,,,,387705004,,
117606AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,enfermedad hemorrágica del recién nacido por deficiencia de vitamina K,,Hemorrhagic disease of newborn,,"A self-limited hemorrhagic disorder of the first days of life, caused by a deficiency of the vitamin K-dependent blood coagulation factors II, VII, IX, and X. (Dorland, 27th ed)",Diagnosis,N/A,,,9455,117606,,,P53,,,,,,,,,12546009,,
3ccc7d2e-26fe-102b-80cb-0017a47871b2,,enfermedad hepática inflamatoria,,Hepatitis,,Liver infection with an unknown organism or unspecified non-infectious liver inflammation.,Diagnosis,N/A,,HEPATITIS,29,116986,29;5019,,,K75.9,,,,,,,,128241005,,
151673AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Enfermedad infecciosa,,Infectious Disease Nos,,"Invasion and multiplication of microorganisms in body tissues, which may be clinically inapparent or result in local cellular injury. A local infection may persist and spread by extension to become an acute, subacute, or chronic clinical infection or disease state. It may also become systemic when the microorganisms gain access to the lymphatic or vascular system. (From Dorland, 27th ed)",Diagnosis,N/A,,Infectious Disease,7521,151673,,,,B99,,,,,,,,40733004,,
116695AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,enfermedad infecciosa intestinal,,Intestinal Infection,,,Diagnosis,N/A,,Intestinal Infection,7518,116695,,,,A08.5,,,,,,,,266071000,,
133393AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,enfermedad infecciosa neonatal,,Infection of Newborn,,,Diagnosis,N/A,,,9489,133393,,,P39.9,,,,,,,,,128271002,,
3cd4ff6c-26fe-102b-80cb-0017a47871b2,,Enfermedad inflamatoria pélvica,,Inflammatory Disease of Female Pelvic Organs and Tissues,PID,Inflamation of the female pelvis-not specified,Diagnosis,N/A,,PELVIC INFLAMMATORY DISEASE,902,902,,,N73.9,,,,,15 (PID),,,,198130006,,
122746AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,enfermedad por virus Zika,,Zika virus disease,,,Diagnosis,N/A,,,10581,122746,,,,A92.8,,,,,,,,3928002,,
be7adab0-2ed5-44d7-972e-586911b08c8e,,Enfermedad pulmonar obstructiva crónica,,Chronic obstructive pulmonary disease,COPD,Long term lung disease that makes breathing difficult,Diagnosis,N/A,,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,3716,1295,,,,J44.9,,,,,,,,13645005,,
3cce6116-26fe-102b-80cb-0017a47871b2,,Enfermedada de transmisión sexual,,Sexually transmitted infection,,"Other predominantly sexually transmitted diseases, not elsewhere classified.",Diagnosis,N/A,,SEXUALLY TRANSMITTED INFECTION,174,112992,,,,A64,,,,,13 (STI),,,8098009,,
3cce0a90-26fe-102b-80cb-0017a47871b2,,Epilepsia,,Epilepsy,,"Any of various neurological disorders characterized by sudden recurring attacks of motor, sensory, or psychic malfunction with or without loss of consciousness or convulsive seizures.",Diagnosis,N/A,,EPILEPSY,155,155,,,,G40.9,,,,,49 (Epilepsy),,,84757009,,
141064AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,erisipela,,Erysipelas,,"An acute infection of the skin caused by species of STREPTOCOCCUS. This disease most frequently affects infants, young children, and the elderly. Characteristics include pink-to-red lesions that spread rapidly and are warm to the touch. The commonest site of involvement is the face.",Diagnosis,N/A,,,10022,141064,,,A46,,,,,,,,,44653001,,
125516AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,eritema solar de primer grado,,Sunburn of First Degree,,"An injury to the skin causing erythema, tenderness, and sometimes blistering and resulting from excessive exposure to the sun. The reaction is produced by the ultraviolet radiation in sunlight.",Diagnosis,N/A,,,10114,125516,,,L55.0,,,,,,,,,200833005,,
3ccd2986-26fe-102b-80cb-0017a47871b2,,Escabiasis,,Scabies,,A contagious skin disease caused by a parasitic mite (Sarcoptes scabiei) and characterized by intense itching.,Diagnosis,N/A,,SCABIES,140,,,,,B86,,,,,,,,,,
155720AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Escoliosis congénita por malformación osea congénita,,Congenital scoliosis due to congenital bony malformation,,,Diagnosis,N/A,,,9623,155720,,,Q76.3,,,,,,,,,205045003,,
133468AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,esguince de cuello,,Neck sprain,,"General or unspecified injuries to the neck. It includes injuries to the skin, muscles, and other soft tissues of the neck.",Diagnosis,N/A,,,10619,133468,,,,S13.6,,,,,,,,209557005,,
126046AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,esguince de los ligamentos cruzados de la rodilla,,Sprain of Cruciate Ligament of Knee,,,Diagnosis,N/A,,,10618,126046,,,,S83.5,,,,,,,,60058008,,
