uuid,Void/Retire,Fully specified name:es,Short name:es,Fully specified name:en,Short name:en,Description:es,Data class,Data type,Answers,Members,Mappings|SAME-AS,Mappings|NARROWER-THAN,Mappings|BROADER-THAN
117655AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Hemiplegia,,Hemiplegia,,,Diagnosis,N/A,,,PIH:11782;CIEL:117655;SNOMED CT:50582007;ICD-10-WHO:G81.9,,
ac764401-a34a-4a29-b886-43053a9f6e35,,Amputación,,Amputation,,,Diagnosis,N/A,,,PIH:7313;PIH:Amputation,,
3cd12a04-26fe-102b-80cb-0017a47871b2,,Edema,,Oedema,,,Symptom/Finding,N/A,,,PIH:460;PIH:OEDEMA;CIEL:460;SNOMED CT:267038008,ICD-10-WHO:R60.9,
3ceb32b4-26fe-102b-80cb-0017a47871b2,,Poliomielitis aguda,,Poliomyelitis,,,Diagnosis,N/A,,,PIH:5258;PIH:POLIOMYELITIS;SNOMED CT:398102009,ICD-10-WHO:A80.9,
3cd80b44-26fe-102b-80cb-0017a47871b2,,Virus papiloma humnao,,Human papillomavirus,,,Diagnosis,N/A,,,PIH:1213;PIH:HUMAN PAPILLOMAVIRUS;CIEL:1213;SNOMED CT:240532009;IMO ProblemIT:25394;AMPATH:1213,ICD-10-WHO:B97.7,
3cccd076-26fe-102b-80cb-0017a47871b2,,Accidente de tráfico,,Transport accident,,,Diagnosis,N/A,,,PIH:86;PIH:Transport Accident;CIEL:86;ICD-10-WHO:N25.8,Liberia MoH:16a (Road traffic accident);ICD-10-WHO:V99,
155720AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Escoliosis congénita por malformación osea congénita,,Congenital scoliosis due to congenital bony malformation,,,Diagnosis,N/A,,,PIH:9623;CIEL:155720;SNOMED CT:205045003;IMO ProblemIT:1812681;ICD-10-WHO:Q76.3;3BT:10122993;ICPC2:L82,,
aafca29e-a395-4638-9e27-2cddc7ed9146,,Diarrea aguda,,Acute Diarrhea,,,Diagnosis,N/A,,,PIH:3588;PIH:ACUTE DIARRHEA;CIEL:149856;ICD-10-WHO:A09.9,,
3ccd122a-26fe-102b-80cb-0017a47871b2,,Lesión de cabeza,,Head injury,,,Diagnosis,N/A,,,PIH:125;PIH:HEAD INJURY;CIEL:116838;SNOMED CT:82271004;ICD-10-WHO:S09.9,Liberia MoH:16c (other injury),
3cd4cf38-26fe-102b-80cb-0017a47871b2,,Rinitis alérgica,,Allergic rhinitis,,,Diagnosis,N/A,,,PIH:880;PIH:RHINITIS;CIEL:121692;SNOMED CT:61582004;Liberia MoH:7 (Rhinitis),ICD-10-WHO:J30.4,
05b51ca4-cf16-4f1c-94db-eecb9125773c,,Consejería de concepción,,Conception counseling,,,Diagnosis,N/A,,,PIH:14099;ICD-10-WHO:Z31.6,,
154355AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,síndrome HELLP,,HELLP (hemolytic anemia/elev liver enzymes/low platelets in pregnancy),,,Diagnosis,N/A,,,PIH:8023;CIEL:154355;SNOMED CT:95605009;ICD-10-WHO:O14.2,Liberia MoH:56 (Pre-eclampsia);SNOMED CT:90821003,
fdcebb03-3c5c-4d61-8a71-8c4a2e0ae6cb,,Absceso periamigdalino,,Peritonsillar abscess,,,Diagnosis,N/A,,,"PIH:3691;PIH:ABSCESS, PERITONSILLAR;SNOMED CT:15033003",ICD-10-WHO:J36,
154937AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Psicosis aguda,,Acute and transient psychotic disorder,,,Diagnosis,N/A,,,PIH:9519;PIH:Acute and transient psychotic disorder;CIEL:154937;SNOMED CT:231489001;IMO ProblemIT:2030229;ICD-10-WHO:F23.9;3BT:10123667;ICPC2:P98,,
120669AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,bronquitis crónica,,Chronic Bronchitis,,,Diagnosis,N/A,,,PIH:7610;PIH:Chronic Bronchitis;CIEL:120669;SNOMED CT:63480004,ICD-10-WHO:J42,
155838AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Cisticercosis de sistema nervioso central,,Cysticercosis of central nervous system,,,Diagnosis,N/A,,,PIH:9053;CIEL:155838;SNOMED CT:187148002;ICD-10-WHO:B69.0,,
105903f4-7b6d-496a-b613-37ab9d0f5450,,diabetes mellitus dependiente de insulina,,Type 1 diabetes,,,Diagnosis,N/A,,,PIH:6691;PIH:Type 1 diabetes;CIEL:142474;SNOMED CT:46635009;IMO ProblemIT:18478;IMO ProblemIT:334672;ICD-10-WHO:E10;ICD-10-WHO:E10.9,Liberia MoH:31 (Diabetes),
116500AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,cálculo renal,,Calculus of kidney,,,Diagnosis,N/A,,,PIH:9697;CIEL:116500;SNOMED CT:95570007;IMO ProblemIT:47623;AMPATH:1877;ICD-10-WHO:N20.0;3BT:10092404;ICPC2:U95,,
165631AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Exposición cercana a COVID-19,,Close exposure to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2),,,Finding,N/A,,,PIH:12810;CIEL:165631;IMO ProblemIT:1494811634;SNOMED UK:1240441000000108,SNOMED CT:840546002;ICD-10-WHO:Z20.8,
3cd4734e-26fe-102b-80cb-0017a47871b2,,Exposición a VIH,,Exposure to HIV,,,Finding,N/A,,,PIH:822;PIH:EXPOSURE TO HIV;CIEL:822;SNOMED CT:444356002,ICD-10-WHO:Z20.6,
127459AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Incompatibilidad Rh que afecta al embarazo,,Rhesus isoimmunization unspecified,,,Diagnosis,N/A,,,PIH:13633;CIEL:127459;SNOMED CT:44795003,ICD-10-WHO:O36.0,
155259AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Neoplasia lipomatosa benigna,,Benign lipomatous neoplasm,,,Diagnosis,N/A,,,PIH:8516;CIEL:155259;SNOMED CT:254830006;ICD-10-WHO:D17.9,,
3cf1e0f0-26fe-102b-80cb-0017a47871b2,,Descarga uretral,,Urethral discharge,,,Diagnosis,N/A,,,PIH:5995;PIH:URETHRAL DISCHARGE;CIEL:123529;SNOMED CT:9957009,ICD-10-WHO:R36,
118350AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Caida,,Fall,,,Diagnosis,N/A,,,PIH:8470;CIEL:118350;SNOMED CT:1912002;ICD-10-WHO:W19,SNOMED CT:161898004,
117468AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,hiperactividad motora,,Hyperkinetic Behavior,,,Diagnosis,N/A,,,PIH:7515;PIH:Hyperkinetic Behavior;CIEL:117468;SNOMED CT:44548000,ICD-10-WHO:F90.9,
149743AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,hepatitis C aguda,,Acute Hepatitis C,,,Diagnosis,N/A,,,PIH:11216;CIEL:149743;SNOMED CT:235866006;IMO ProblemIT:194244;ICD-10-WHO:B17.1;3BT:10040695;ICPC2:D72,SNOMED CT:50711007;SNOMED CT:111896003,
127484AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Absceso retrofaringeo y parafaringeo,,Retropharyngeal and parapharyngeal abscess,,,Diagnosis,N/A,,,PIH:8568;CIEL:127484;SNOMED CT:18099001;3BT:10086774;ICPC2:R99,ICD-10-WHO:J39.0,
3ccca36c-26fe-102b-80cb-0017a47871b2,,Infección de vías urinarias,,Urinary tract infection,,,Diagnosis,N/A,,,PIH:55;PIH:URINARY TRACT INFECTION;Liberia MoH:14 (UTI),ICD-10-WHO:N39.0,
145066AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Labio leporino,,Cleft Lip,,,Diagnosis,N/A,,,PIH:8422;CIEL:145066;SNOMED CT:80281008;3BT:10054819;ICPC2:D81,,ICD-10-WHO:Q36.9
3cd4e7e8-26fe-102b-80cb-0017a47871b2,,Bordetella pertusis,,Pertussis,,,Diagnosis,N/A,,,PIH:891;PIH:PERTUSSIS;Liberia MoH:22 (Whooping Cough),ICD-10-WHO:A37.9,
141128AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,dolor epigástrico,,Epigastric pain,,,Diagnosis,N/A,,,PIH:7620;PIH:Epigastric Pain;CIEL:141128;SNOMED CT:79922009,ICD-10-WHO:R10.1,
3cdc6504-26fe-102b-80cb-0017a47871b2,,Estreñimiento,,Constipation,,,Diagnosis,N/A,,,PIH:1628;PIH:CONSTIPATION;CIEL:996;ICD-10-WHO:K59.0,,
156355AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Cuerpo extraño en tracto respiratorio,,foreign body in respiratory tract,,,Diagnosis,N/A,,,PIH:8326;CIEL:156355;SNOMED CT:262599003;ICD-10-WHO:T17.9;3BT:10022469;ICPC2:R87,,
124954AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,tétanos del neonato,,Tetanus Neonatorum,,,Diagnosis,N/A,,,PIH:7251;PIH:Tetanus Neonatorum;CIEL:124954;SNOMED CT:43424001;IMO ProblemIT:24715;3BT:10063949;ICPC2:N72;Liberia MoH:20 (Neo-natal Tetanus),ICD-10-WHO:A33,
120049AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Malformación congénita de la espina dorsal,,Congenital anomaly of spinal cord,,,Diagnosis,N/A,,,PIH:9587;CIEL:120049;SNOMED CT:81042008;IMO ProblemIT:7127;ICD-10-WHO:Q06.9,,
78de357e-96f8-446c-89f7-b302e6040363,,Hemorroides,,Hemorrhoids,,,Diagnosis,N/A,,,PIH:7169;PIH:Hemorrhoids;CIEL:138849;SNOMED CT:70153002;ICD-10-WHO:I84.9,,
111103AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,accidente cerebrovascular,,Cerebrovascular accident,,,Diagnosis,N/A,,,PIH:7314;PIH:Cerebrovascular Accident;CIEL:111103;SNOMED CT:230690007;AMPATH:1878;ICPC2:K90,ICD-10-WHO:I64,
3ccdf6b8-26fe-102b-80cb-0017a47871b2,,Faringitis,,Pharyngitis,,,Diagnosis,N/A,,,PIH:150;PIH:PHARYNGITIS;SNOMED CT:405737000;Liberia MoH:52 (Tonsilitis),ICD-10-WHO:J02.9,
163831AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,"Fimosis, parafimosis",,Phimosis,,,Diagnosis,N/A,,,PIH:11411;CIEL:163831;SNOMED CT:449826002;IMO ProblemIT:12488,ICD-10-WHO:N47,
136784AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,aumento de peso insuficiente en el embarazo,,Insufficient weight gain of pregnancy,,,Diagnosis,N/A,,,PIH:14093;CIEL:136784;SNOMED CT:28701003;IMO ProblemIT:2029892;ICD-10-WHO:O26.1,,
3ce98d06-26fe-102b-80cb-0017a47871b2,,Demencia,,Dementia,,,Diagnosis,N/A,,,PIH:5136;PIH:DEMENTIA;ICD-10-WHO:F03,,
3cd505b6-26fe-102b-80cb-0017a47871b2,,Aborto incompleto,,Incomplete abortion,,,Diagnosis,N/A,,,PIH:905;PIH:MISSED ABORTION;SNOMED CT:16863000,Liberia MoH:55 (Abortion);ICD-10-WHO:O05.4,
489db96c-ef65-40d2-a96b-a2f0c59645fb,,Trastorno psicosomático,,Psychosomatic disorder,,,Diagnosis,N/A,,,PIH:7198;PIH:Psychosomatic problems;ICD-10-WHO:F45.9,,
3cce4c76-26fe-102b-80cb-0017a47871b2,,Linfadenopatía,,Lymphadenopathy,,,Diagnosis,N/A,,,PIH:161;PIH:LYMPHADENOPATHY,ICD-10-WHO:R59.9,
117549AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Hernia con obstrucción,,"Hernia, with Obstruction",,,Diagnosis,N/A,,,PIH:13608;CIEL:117549;SNOMED CT:8377001;IMO ProblemIT:820298,ICD-10-WHO:K46.0,
121519AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,apnea en el recién nacido,,Apnea of newborn,,,Diagnosis,N/A,,,PIH:9450;CIEL:121519;SNOMED CT:13094009;IMO ProblemIT:501707;3BT:10007918;ICPC2:A94,ICD-10-WHO:P28.4,
5ecb82d7-698b-41fe-8ed8-b00ae7a8cb01,,Planificación familiar,,Family planning,,,Misc,N/A,,,PIH:8853;PIH:FAMILY PLANNING;SNOMED CT:13197004,ICD-10-WHO:Z30.0,
121764AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Reacción adversa a medicamentos,,Adverse drug effect,,,Diagnosis,Coded,,,PIH:7926;CIEL:121764;SNOMED CT:62014003;AMPATH:1664,ICD-10-WHO:T88.7,
113859AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Hipertensión gestacional,,Pregnancy-induced hypertension,,,Diagnosis,N/A,,,PIH:9752;CIEL:113859;SNOMED CT:48194001;IMO ProblemIT:370963;3BT:10109913,Liberia MoH:33 (Hypertension),ICD-10-WHO:O13
121873AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Periodontitis aguda,,Acute Periodontitis,,,Diagnosis,N/A,,,PIH:8914;CIEL:121873;SNOMED CT:21638000;ICD-10-WHO:K05.2;3BT:10079772;ICPC2:D82,,
5694db9f-82d8-4506-8761-e82f0bebff87,,Conjuntivitis viral,,Viral Conjunctivitis,,,Diagnosis,N/A,,,PIH:3786;PIH:VIRAL CONJUNCTIVITIS,ICD-10-WHO:B30.9;Liberia MoH:34 (Conjunctivitis ),
3cd48c44-26fe-102b-80cb-0017a47871b2,,Acné,,Acne,,,Diagnosis,N/A,,,PIH:838;PIH:Acne,ICD-10-WHO:L70.9,
114989AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,Dislocación del codo,,Dislocation of elbow,,,Diagnosis,N/A,,,PIH:9597;CIEL:114989;SNOMED CT:125617002;IMO ProblemIT:33082;3BT:10028875;ICPC2:L80,ICD-10-WHO:S53.1,
3ccca93e-26fe-102b-80cb-0017a47871b2,,Lepra,,Leprosy,,,Diagnosis,N/A,,,PIH:59;PIH:LEPROSY;SNOMED CT:81004002,ICD-10-WHO:A30.9,
3ccc49bc-26fe-102b-80cb-0017a47871b2,,Exacerbación asmática,,Asthma exacerbation,,,Diagnosis,N/A,,,PIH:4;PIH:ASTHMA EXACERBATION;SNOMED CT:281239006;ICD-10-WHO:J45.9,,
150746AAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,,aborto con sepsis,,Abortion with sepsis,,,Diagnosis,N/A,,,PIH:8018;CIEL:150746;SNOMED CT:30260009;3BT:10001731,ICD-10-WHO:O05.5;Liberia MoH:55 (Abortion),
94b056da-61ac-4ae9-bb30-58290d62af61,,Preeclampsia con datos de severidad,,Severe pre-eclampsia,,,Diagnosis,N/A,,,PIH:9344;CIEL:113006;SNOMED CT:46764007;ICD-10-WHO:O14.1,Liberia MoH:56 (Pre-eclampsia),
3cd4e978-26fe-102b-80cb-0017a47871b2,,Varicela,,Varicella,,,Diagnosis,N/A,,,PIH:892;PIH:VARICELLA,ICD-10-WHO:B01.9,
